the  #1  art. 这；那 adv. 更加（用于比较级，最高级前）
divide  #7019  vt. 划分；除；分开；使产生分歧 vi. 分开；意见分歧 n. [地理] 分水岭，分水线
rage  #7020  n. 愤怒；狂暴，肆虐；情绪激动 vi. 大怒，发怒；流行，风行 n. (Rage)人名；(丹)拉厄
responsive  #7021  adj. 响应的；应答的；回答的
loosely  #7022  adv. 宽松地；放荡地；轻率地
superb  #7023  adj. 极好的；华丽的；宏伟的 n. (Superb)人名；(罗)苏佩尔布
evacuate  #7024  vt. 疏散，撤退；排泄 vi. 疏散；撤退；排泄
understandable  #7025  adj. 可以理解的；可以了解的
squash  #7026  vt. 镇压；把…压扁；使沉默 vi. 受挤压；发出挤压声；挤入 n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
recruit  #7027  n. 招聘；新兵；新成员 vt. 补充；聘用；征募；使…恢复健康 vi. 复原；征募新兵；得到补充；恢复健康
postcard  #7028  n. 明信片
modified  #7029  adj. 改进的，修改的；改良的 v. 修改；缓和（modify的过去分词）
elusive  #7030  adj. 难懂的；易忘的；逃避的；难捉摸的
float  #7031  vt. 使漂浮；实行 vi. 浮动；飘动，散播；摇摆；付诸实施 n. 彩车，花车；漂流物；浮舟；浮萍 n. (Float)人名；(英)弗洛特
hardship  #7032  n. 困苦；苦难；艰难险阻
relocate  #7033  vt. 重新安置；迁移 vi. 重新安置；迁移新址 n. 浮动
affiliate  #7034  n. 联号；隶属的机构等 vt. 使附属；接纳；使紧密联系 vi. 参加，加入；发生联系
claw  #7035  n. 爪；螯，钳；爪形器具 vi. 用爪抓（或挖） vt. 用爪抓（或挖）
pity  #7036  n. 怜悯，同情；遗憾 vt. 对……表示怜悯；对……感到同情
incomplete  #7037  adj. 不完全的；[计] 不完备的
instability  #7038  n. 不稳定（性）；基础薄弱；不安定
dodge  #7039  n. 躲闪；托词 vi. 躲避，避开 vt. 躲避，避开 n. (Dodge)人名；(英)道奇
gesture  #7040  n. 姿态；手势 vi. 作手势；用动作示意 vt. 用动作表示
unwanted  #7041  adj. 不需要的；有害的；讨厌的；空闲的
bureaucrat  #7042  n. 官僚；官僚主义者
projected  #7043  adj. 投影的，投射 v. 投射（project的过去分词）；计划
skepticism  #7044  n. 怀疑论；怀疑的态度
marvelous  #7045  adj. 了不起的；非凡的；令人惊异的；不平常的
cater  #7046  vt. 投合，迎合；满足需要；提供饮食及服务 n. (Cater)人名；(英)凯特
laborer  #7047  n. 劳动者；工人
continuously  #7048  adv. 连续不断地
reliance  #7049  n. 信赖；信心；受信赖的人或物
immunity  #7050  n. 免疫力；豁免权；免除
fax  #7051  vt. 传真 n. 传真 n. (Fax)人名；(英、法)法克斯
tornado  #7052  n. [气象] 龙卷风；旋风；暴风；大雷雨 n. (Tornado)人名；(西)托纳多
chess  #7053  n. 国际象棋，西洋棋 n. (Chess)人名；(英)切斯
filing  #7054  n. 文件归档；锉；锉屑 vt. 锉（file的现在分词）
Halloween  #7055  n. 万圣节前夕（指十月三十一日夜晚）
buffalo  #7056  n. [畜牧][脊椎] 水牛；[脊椎] 野牛（产于北美）；水陆两用坦克 n. (Buffalo)人名；(英)布法罗 vt. 威胁; 欺骗; 迷惑
camel  #7057  n. [畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚 adj. 驼色的；暗棕色的 vi. 工作刻板平庸 n. (Camel)人名；(法)卡梅尔；(阿拉伯)卡迈勒
planetary  #7058  adj. 行星的
nucleus  #7059  n. 核，核心；原子核
heck  #7060  int. 真见鬼（hell的委婉说法） n. 饲草架 n. (Heck)人名；(德)黑克；(葡、西、法)埃克；(英)赫克
declining  #7061  adj. 下滑的；衰退的；倾斜的 v. 下降；衰退；婉谢（decline的ing形式）
blonde  #7062  adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的 n. 白肤金发碧眼的女人
conform  #7063  vi. 符合；遵照；适应环境 vt. 使遵守；使一致；使顺从 adj. 一致的；顺从的
Taliban  #7064  塔利班
book  #7065  n. 书籍；卷；账簿；名册；工作簿 vt. 预订；登记 n. (Book)人名；(中)卜(广东话·威妥玛)；(朝)北；(英)布克；(瑞典)博克
comic  #7066  adj. 喜剧的；滑稽的；有趣的 n. 连环漫画；喜剧演员；滑稽人物
cuff  #7067  n. 袖口，裤子翻边；手铐；一巴掌 vt. 给…上袖口；用巴掌打；给…带上手铐 vi. 殴斗，拳击 n. (Cuff)人名；(法)屈夫；(英)卡夫
worthwhile  #7068  adj. 值得做的，值得花时间的
brightly  #7069  adv. 明亮地；鲜明地；生辉地
shipment  #7070  n. 装货 n. 装载的货物 n. 出货量
bud  #7071  n. 芽，萌芽；蓓蕾 vi. 发芽，萌芽 vt. 使发芽 n. (Bud)人名；(英)巴德；(中)布特(蒙语·汉语拼音)；(罗、匈)布德
sperm  #7072  n. 精子；精液；鲸蜡油
sedan  #7073  n. 轿车；轿子 n. (Sedan)人名；(英)塞丹
accompanying  #7074  adj. 陪伴的；附随的 v. 伴随（accompany的ing形式）
certified  #7075  adj. 被证明的；有保证的；具有证明文件的 v. 证明，证实；颁发合格证书（certify的过去分词形式）
admiration  #7076  n. 钦佩；赞赏；羡慕；赞美
roar  #7077  n. 咆哮；吼；轰鸣 vi. 咆哮；吼叫；喧闹 vt. 咆哮；呼喊；使……轰鸣 n. (Roar)人名；(挪)罗阿尔
apartheid  #7078  n. 种族隔离
earring  #7079  n. 耳环，耳饰 v. 抽穗；听见（ear的ing形式）
off  #7080  prep. 离开；脱落 adv. 切断；走开 adj. 远离的；空闲的
apparatus  #7081  n. 装置，设备；仪器；器官
withstand  #7082  vt. 抵挡；禁得起；反抗 vi. 反抗
expel  #7083  vt. 驱逐；开除
mine  #7084  n. 矿，矿藏；矿山，矿井；地雷，水雷 vt. 开采，采掘；在…布雷 vi. 开矿，采矿；埋设地雷 pron. 我的 n. (Mine)人名；(德、塞、土、毛里塔)米内
extinction  #7085  n. 灭绝；消失；消灭；废止
archaeological  #7086  adj. [古] 考古学的；[古] 考古学上的
overview  #7087  n. [图情] 综述；概观
reluctance  #7088  n. [电磁] 磁阻；勉强；不情愿
forgiveness  #7089  n. 宽恕；宽仁之心
prevalent  #7090  adj. 流行的；普遍的，广传的
scarcely  #7091  adv. 几乎不，简直不；简直没有
irrigation  #7092  n. 灌溉；[临床] 冲洗；冲洗法
societal  #7093  adj. 社会的
benign  #7094  adj. 良性的；和蔼的，亲切的；吉利的 n. (Benign)人名；(俄)贝尼根
lumber  #7095  vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动 vt. 砍伐木材；乱堆 n. 木材；废物，无用的杂物；隆隆声
extensively  #7096  adv. 广阔地；广大地
cabbage  #7097  n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
slack  #7098  adj. 松弛的；疏忽的；不流畅的 vi. 松懈；减弱 n. 煤末；峡谷 vt. 放松；使缓慢 adv. 马虎地；缓慢地 n. (Slack)人名；(英)斯莱克
calmly  #7099  adv. 冷静地；平静地；安静地
dedication  #7100  n. 奉献；献身；赠言
follow-up  #7101  adj. 后续的；增补的 n. 随访；跟进；后续行动
rugged  #7102  adj. 崎岖的；坚固的；高低不平的；粗糙的
boulder  #7103  n. 卵石，大圆石；巨砾
inequality  #7104  n. 不平等；不同；不平均
halt  #7105  vi. 停止；立定；踌躇，犹豫 n. 停止；立定；休息 vt. 使停止；使立定 n. (Halt)人名；(德、芬)哈尔特
produce  #7106  vt. 生产；引起；创作；生育，繁殖 n. 农产品，产品 vi. 生产，创作
obscure  #7107  adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的 vt. 使…模糊不清，掩盖；隐藏；使难理解 n. 某种模糊的或不清楚的东西
coherent  #7108  adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
kidnap  #7109  vt. 绑架；诱拐；拐骗
earnest  #7110  adj. 认真的，热心的；重要的 n. 认真；定金；诚挚 n. (Earnest)人名；(英)欧内斯特
apt  #7111  adj. 恰当的；有…倾向的；灵敏的 n. (Apt)人名；(法、波、英)阿普特
optimal  #7112  adj. 最佳的；最理想的
simplicity  #7113  n. 朴素；简易；天真；愚蠢
staple  #7114  n. 主要产品；订书钉；主题；主食 adj. 主要的，大宗生产的；常用的；纺织纤维的 vt. 把…分级；钉住
canned  #7115  adj. 罐装的；录音的 v. 装于罐头（can的过去分词）
closing  #7116  adj. 收盘的；结束的；结尾的 n. 结尾辞 v. 关闭（close的ing形式）
plaque  #7117  n. 匾；血小板；饰板
autobiography  #7118  n. 自传；自传文学
preschool  #7119  adj. 未满学龄的；就学前的，入学前的 n. 幼儿园，育幼院
confidential  #7120  adj. 机密的；表示信任的；获信任的
characteristic  #7121  adj. 典型的；特有的；表示特性的 n. 特征；特性；特色
chat  #7122  vi. 聊天；闲谈 vt. 与…搭讪；与…攀谈 n. 聊天；闲谈 n. (Chat)人名；(英)查特(教名Carol、Carola、Caroline、Carolyn的昵称)；(西)查特；(越)质；(柬)乍；(泰)察；(捷)哈特；(中)质(广东话·威妥玛)；(法)沙
superstar  #7123  n. 超级明星，巨星；超级星体
intensely  #7124  adv. 强烈地；紧张地；热情地
sleek  #7125  adj. 圆滑的；井然有序的 vt. 使…光滑；掩盖 vi. 打扮整洁；滑动
windshield  #7126  n. 挡风玻璃
elaborate  #7127  adj. 精心制作的；详尽的；煞费苦心的 vt. 精心制作；详细阐述；从简单成分合成（复杂有机物） vi. 详细描述；变复杂
draw  #7128  vt. 画；拉；吸引 vi. 拉；拖 n. 平局；抽签 n. (Draw)人名；(英)德劳
dune  #7129  n. （由风吹积而成的）沙丘
appropriate  #7130  adj. 适当的；恰当的；合适的 vt. 占用，拨出
ambiguity  #7131  n. 含糊；不明确；暧昧；模棱两可的话
whiskey  #7132  n. 威士忌酒 adj. 威士忌酒的
compatible  #7133  adj. 兼容的；能共处的；可并立的
shipping  #7134  n. [船] 船舶，船舶吨数；海运；运送 v. 运送，乘船（ship的ing形式） n. (Shipping)人名；(英)希平
indirectly  #7135  adv. 间接地；不诚实；迂回地
susceptible  #7136  adj. 易受影响的；易感动的；容许…的 n. 易得病的人
deduction  #7137  n. 扣除，减除；推论；减除额
grilled  #7138  adj. 烤的；有格子的 v. 炙烤（grill的过去式和过去分词）
tester  #7139  n. 天盖；检验器；试验员 n. (Tester)人名；(英)特斯特
rinse  #7140  vt. 漱；冲洗掉；漂净 n. 冲洗；漂洗；[轻] 染发剂；染发 vi. 冲洗掉；漂净
vigorously  #7141  adv. 精神旺盛地，活泼地
appealing  #7142  adj. 吸引人的；动人的；引起兴趣的；恳求似的 v. 恳求（appeal的ing形式）；将…上诉
relentless  #7143  adj. 无情的；残酷的；不间断的
sunglasses  #7144  n. 太阳镜；凸透镜（sunglass的复数）
inconsistent  #7145  adj. 不一致的；前后矛盾的
interpersonal  #7146  adj. 人际的；人与人之间的
vase  #7147  n. 瓶；花瓶 n. (Vase)人名；(塞、罗、芬)瓦塞
canopy  #7148  n. 天篷；华盖；遮篷；苍穹 vt. 用天蓬遮盖；遮盖
crumble  #7149  vi. 崩溃；破碎，粉碎 vt. 崩溃；弄碎，粉碎 n. 面包屑
staircase  #7150  n. 楼梯
fixture  #7151  n. 设备；固定装置；固定于某处不大可能移动之物
maternal  #7152  adj. 母亲的；母性的；母系的；母体遗传的
lure  #7153  n. 诱惑；饵；诱惑物 vt. 诱惑；引诱；引怪（游戏术语） n. (Lure)人名；(英)卢尔
negotiator  #7154  n. 谈判者；磋商者；交涉者
vampire  #7155  n. 吸血鬼；[脊椎] 吸血蝙蝠
certify  #7156  v. 证明；保证
mold  #7157  vt. 塑造；使发霉；用模子制作 vi. 发霉 n. 霉菌；模子 n. (Mold)人名；(英)莫尔德
cynical  #7158  adj. 愤世嫉俗的；冷嘲的
periodically  #7159  adv. 定期地；周期性地；偶尔；间歇
loneliness  #7160  n. 寂寞，孤独
merchandise  #7161  n. 商品；货物 vt. 买卖；推销 vi. 经商
excel  #7162  vt. 超过；擅长 vi. (在某方面)胜过(或超过)别人
fuck  #7163  n. 性交；杂种；一丁点儿 vt. 与...性交；诅咒；欺骗 vi. 性交；鬼混 int. 他妈的 n. (Fuck)人名；(德)富克
blunt  #7164  adj. 钝的，不锋利的；生硬的；直率的 vt. 使迟钝 n. (Blunt)人名；(英)布伦特
authoritarian  #7165  adj. 独裁主义的；权力主义的 n. 权力主义者；独裁主义者
astronomical  #7166  adj. 天文的，天文学的；极大的
gardening  #7167  n. 园艺；园林工人的工作
massage  #7168  vt. 按摩；揉 n. 按摩；揉
accidentally  #7169  adv. 意外地；偶然地
manual  #7170  adj. 手工的；体力的 n. 手册，指南
gratitude  #7171  n. 感谢（的心情）；感激
emperor  #7172  n. 皇帝，君主
outraged  #7173  adj. 义愤填膺的；愤慨的，气愤的 v. 使愤怒（outrage的过去式，过去分词）
affiliation  #7174  n. 友好关系；加入；联盟；从属关系
triple  #7175  adj. 三倍的；三方的 n. 三倍数；三个一组 vi. 增至三倍 vt. 使成三倍
hue  #7176  n. 色彩；色度；色调；叫声
fungus  #7177  n. 真菌，霉菌；菌类
disparity  #7178  n. 不同；不一致；不等
enzyme  #7179  n. [生化] 酶
intercept  #7180  vt. 拦截；截断；窃听 n. 拦截；[数] 截距；截获的情报
postal  #7181  adj. 邮政的；邮局的 n. 明信片
lodge  #7182  n. 旅馆；门房；集会处；山林小屋 vt. 提出；寄存；借住；嵌入 vi. 寄宿；临时住宿 n. (Lodge)人名；(英、西)洛奇
whistle  #7183  n. 口哨；汽笛；呼啸声 vt. 吹口哨；鸣汽笛
cease-fire  #7184  n. 停火
deepest  #7185  adj. 最深的，最深
surviving  #7186  adj. 继续存在的；未死的；依然健在的 v. 生存（survive的ing形式）
cylinder  #7187  n. 圆筒；汽缸；[数] 柱面；圆柱状物
membrane  #7188  n. 膜；薄膜；羊皮纸
cafeteria  #7189  n. 自助餐厅； 小餐厅；快餐厅
ambiguous  #7190  adj. 模糊不清的；引起歧义的
dismantle  #7191  vt. 拆除；取消；解散；除掉…的覆盖物 vi. 可拆卸
selling  #7192  n. 销售；出售 v. 出售（sell的现在分词形式） n. (Selling)人名；(英、德、瑞典)塞林
dire  #7193  adj. 可怕的；悲惨的；极端的
hybrid  #7194  n. 杂种，混血儿；混合物 adj. 混合的；杂种的
honorable  #7195  adj. 光荣的；可敬的；高贵的（honourable的美式写法）
high-speed  #7196  adj. 高速的
heap  #7197  n. 堆；许多；累积 vt. 堆；堆积 vi. 堆起来 n. (Heap)人名；(芬)海亚普；(东南亚国家华语)协；(英)希普
high-profile  #7198  adj. 高调的；备受瞩目的；知名度高的
allocation  #7199  n. 分配，配置；安置
glide  #7200  vi. 滑翔；滑行；悄悄地走；消逝 vt. 使滑行；使滑动 n. 滑翔；滑行；滑移；滑音
pave  #7201  vt. 铺设；安排；作铺设之用 n. (Pave)人名；(西、塞)帕韦
infectious  #7202  adj. 传染的；传染性的；易传染的
communism  #7203  n. 共产主义
preceding  #7204  adj. 在前的；前述的 v. 在...之前（precede的ing形式）
precaution  #7205  n. 预防，警惕；预防措施 vt. 警惕；预先警告
surface  #7206  n. 表面；表层；外观 adj. 表面的，肤浅的 vi. 浮出水面 vt. 使浮出水面；使成平面 n. (Surface)人名；(英)瑟菲斯
fry  #7207  n. 鱼苗；油炸食物 vt. 油炸；油煎 vi. 油炸；油煎 n. (Fry)人名；(芬)弗吕；(英)弗赖伊；(德、英、法、西)弗里
saucepan  #7208  n. 炖锅；深平底锅
metro  #7209  n. 地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一，总部所在地德国，主要经营零售）
qualitative  #7210  adj. 定性的；质的，性质上的
activism  #7211  n. 行动主义；激进主义
infrared  #7212  n. 红外线 adj. 红外线的
awe  #7213  vt. 使敬畏；使畏怯 n. 敬畏 n. (Awe)人名；(德)阿韦
unstable  #7214  adj. 不稳定的；动荡的；易变的
invariably  #7215  adv. 总是；不变地；一定地
informant  #7216  n. 告密者；提供消息者
onset  #7217  n. 开始，着手；发作；攻击，进攻
myriad  #7218  adj. 无数的；种种的 n. 无数，极大数量；无数的人或物
internationally  #7219  adv. 国际性地；在国际间
overnight  #7220  adv. 通宵；突然；昨晚 adj. 晚上的；通宵的；前夜的 n. 头天晚上；一夜的逗留 vt. 连夜快递 vi. 过一夜
